lat,lon,time
52.22274889,6.88715324,2020-04-27T11:28:58Z
52.22274747,6.88715125,2020-04-27T11:28:59Z
52.22274941,6.88715107,2020-04-27T11:29:00Z
52.22275234,6.88714732,2020-04-27T11:29:01Z
52.22275686,6.88713976,2020-04-27T11:29:02Z
52.22275958,6.88713093,2020-04-27T11:29:03Z
52.22276382,6.88712450,2020-04-27T11:29:04Z
52.22276854,6.88712101,2020-04-27T11:29:05Z
52.22277419,6.88712109,2020-04-27T11:29:06Z
52.22278088,6.88712323,2020-04-27T11:29:07Z
52.22278598,6.88712266,2020-04-27T11:29:08Z
52.22279672,6.88711832,2020-04-27T11:29:09Z
52.22281213,6.88711066,2020-04-27T11:29:10Z
52.22282207,6.88710323,2020-04-27T11:29:11Z
52.22282904,6.88709834,2020-04-27T11:29:12Z
52.22283932,6.88709557,2020-04-27T11:29:13Z
52.22285281,6.88709329,2020-04-27T11:29:14Z
52.22286671,6.88709410,2020-04-27T11:29:15Z
52.22287720,6.88709152,2020-04-27T11:29:16Z
52.22288707,6.88709082,2020-04-27T11:29:17Z
52.22289826,6.88709261,2020-04-27T11:29:18Z
52.22290698,6.88709506,2020-04-27T11:29:19Z
52.22291413,6.88709818,2020-04-27T11:29:20Z
52.22291909,6.88709343,2020-04-27T11:29:21Z
52.22292379,6.88708408,2020-04-27T11:29:22Z
52.22292914,6.88707477,2020-04-27T11:29:23Z
52.22293407,6.88706668,2020-04-27T11:29:24Z
52.22294158,6.88705920,2020-04-27T11:29:25Z
52.22294910,6.88705303,2020-04-27T11:29:26Z
52.22295487,6.88704627,2020-04-27T11:29:27Z
52.22296275,6.88703864,2020-04-27T11:29:28Z
52.22297097,6.88702843,2020-04-27T11:29:29Z
52.22298025,6.88701735,2020-04-27T11:29:30Z
